response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,FEMINISM,genballot,hdem_fav,hrep_fav,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedd,educ3,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,65 and older,Graduate or Professional Degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Don't know,disagree,65 and older,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Pima,85 percent or higher,Cell,1,0.9146,0.7363,0.547,0.7499
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Approve,Check,support,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",45 to 64,4-year College Grad.,White,Pima,85 percent or higher,Landline,1,0.928,1.0059,0.6411,1.023
Dem,18 to 34,Some college or trade school,Unknown,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,agree,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 44,No 4-year College Degree,Unknown,Pima,50 to 85 percent,Landline,1,0.81,1.1542,0.9188,1.1949
Dem,35 to 49,Bachelors' degree,White,Female,Hispanic,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 44,4-year College Grad.,White,Pima,85 percent or higher,Landline,1,0.9758,0.8772,0.4805,0.8886
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Pima,85 percent or higher,Landline,1,0.9964,0.6954,0.4226,0.705
Rep,65 and older,Bachelors' degree,White,Male,Other,support,Approve,Support,support,Reps. keep House,Unfavorable,Favorable,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),Nonwhite,65 and older,4-year College Grad.,White,Pima,85 percent or higher,Landline,1,0.9971,1.1027,0.6743,1.1182
Rep,65 and older,High school,White,Male,White,support,Approve,Don't know,Don't know,Reps. keep House,Don't know,Don't know,agree,65 and older,High School Grad. or Less,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Pima,85 percent or higher,Landline,1,0.9888,1.1094,0.7947,1.1238
Rep,65 and older,Graduate or Professional Degree,Asian,Male,Other,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Don't know,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),Nonwhite,65 and older,Postgraduate Degree,Non-White,Pima,85 percent or higher,Landline,1,0.9955,0.8703,0.5588,0.8822
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Cochise,85 percent or higher,Landline,1,0.8501,0.9443,0.8585,0.9708
Rep,65 and older,Some college or trade school,Unknown,Male,Hispanic,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,disagree,65 and older,Some College Educ.,Other,Male,Very likely,Republican,Nonwhite,65 and older,No 4-year College Degree,Unknown,Cochise,85 percent or higher,Cell,1,0.9869,0.9129,0.8691,0.9208
