response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Und,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,4-year College Grad.,White,Aurora,85 percent or higher,Cell,1,0.965,0.9836,0.6495,0.9971
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Adams,Less than 50 percent,Cell,0.7778,0.3887,0.6801,1.4173,0.74
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Aurora,85 percent or higher,Cell,1,0.965,0.8084,0.5225,0.8128
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Douglas,85 percent or higher,Cell,1,0.9621,1.7348,1.3436,1.759
Dem,65 and older,High school,White,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Not at all likely,Democrat,Nonwhite,Nonwhite,65 and older,No 4-year College Degree,White,Aurora,50 to 85 percent,Cell,0,0.7665,1.0003,0.8838,0.4495
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Adams,85 percent or higher,Cell,1,0.965,0.8643,0.6732,0.8762
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Aurora,Less than 50 percent,Cell,1,0.4068,0.871,1.9967,1.0214
Dem,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,No 4-year College Degree,Hispanic,Adams,85 percent or higher,Cell,1,0.965,1.0816,0.9764,1.0965
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Don't know,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Aurora,85 percent or higher,Cell,1,0.965,0.648,0.4395,0.6569
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,Unknown,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,0.894,0.6108,0.9063
4,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Unfavorable,30 to 44,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,White,Aurora,85 percent or higher,Cell,1,0.8967,0.9536,0.8422,0.9566
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Aurora,85 percent or higher,Cell,1,0.965,1.0398,0.7822,1.0454
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Don't know,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.8714,0.797,0.6227,0.8169
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Aurora,85 percent or higher,Cell,1,0.922,0.7871,0.5478,0.7897
3,50 to 64,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),Nonwhite,Nonwhite,50 to 64,No 4-year College Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,1.0738,0.7946,1.0796
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Rest of Araphahoe,Less than 50 percent,Cell,1,0.4114,0.8831,1.7743,0.9563
Und,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,Unknown,Aurora,Less than 50 percent,Cell,1,0.4148,0.5824,1.1689,0.6802
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,White,Aurora,Less than 50 percent,Cell,1,0.4968,0.6035,0.9532,0.68
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9298,0.8635,0.6097,0.8664
4,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),Nonwhite,Nonwhite,50 to 64,No 4-year College Degree,Hispanic,Adams,50 to 85 percent,Cell,0.5556,0.7483,1.1409,1.25,0.9245
Rep,35 to 49,Some college or trade school,White,Male,White,Disapp.,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,White,Aurora,Less than 50 percent,Cell,1,0.4626,0.8497,1.6238,0.971
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,4-year College Grad.,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.965,1.1576,0.7403,1.1735
Rep,50 to 64,Bachelors' degree,White,Female,White,Don't know,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Adams,85 percent or higher,Cell,1,0.965,0.7633,0.574,0.7738
Dem,65 and older,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,No 4-year College Degree,Other Non-White,Aurora,50 to 85 percent,Cell,1,0.7307,1.245,1.2294,1.3098
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Douglas,85 percent or higher,Cell,1,0.965,1.1065,0.8204,1.1217
Rep,35 to 49,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,Unknown,Adams,85 percent or higher,Cell,1,0.9468,0.8025,0.6648,0.8147
