response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,35 to 49,Graduate or Professional Degree,White,Male,Hispanic,Approve,Reps. keep House,Don't know,Don't know,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,White,Will/DuPage/Lake,85 percent or higher,Cell,1,0.965,0.9803,0.6169,0.9815
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",White,35 to 49,White,Will/DuPage/Lake,85 percent or higher,Cell,1,0.8925,1.1651,0.8585,1.1906
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Landline,1,0.97,0.7139,0.4092,0.7146
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Reps. keep House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Rest,50 to 85 percent,Landline,1,0.7873,1.0905,0.6663,1.1437
Dem,35 to 49,Bachelors' degree,Other,Female,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,18 to 34,Non-White,Will/DuPage/Lake,85 percent or higher,Cell,1,0.9161,0.9394,0.7407,0.9306
Rep,65 and older,Graduate or Professional Degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",White,65 and older,Unknown,Kane,Less than 50 percent,Landline,1,0.3481,0.4772,0.8776,0.6086
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Kane,85 percent or higher,Landline,1,0.9382,0.709,0.3758,0.7175
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Will/DuPage/Lake,50 to 85 percent,Cell,0.5556,0.5318,2.9693,4.4218,2.1537
Rep,50 to 64,Bachelors' degree,White,Male,Other,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,Nonwhite,Nonwhite,50 to 64,White,Rest,85 percent or higher,Cell,1,0.97,1.247,0.6476,1.2389
Dem,18 to 34,Graduate or Professional Degree,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Postgraduate Degree,Democratic,Male,Already voted,Democrat,Nonwhite,Nonwhite,18 to 34,Non-White,Will/DuPage/Lake,85 percent or higher,Cell,1,0.9698,0.7904,0.5437,0.7951
Dem,65 and older,Graduate or Professional Degree,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Unfavorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Rest,85 percent or higher,Cell,1,0.97,0.6479,0.3362,0.6436
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Kane,85 percent or higher,Landline,1,0.914,0.8227,0.4886,0.8278
Dem,35 to 49,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",White,35 to 49,Unknown,Will/DuPage/Lake,85 percent or higher,Cell,1,0.9523,0.8214,0.692,0.8289
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Don't know,30 to 44,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,35 to 49,White,Kane,50 to 85 percent,Cell,1,0.6158,0.7361,0.8052,0.749
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Rest,50 to 85 percent,Landline,1,0.7571,1.4811,1.1857,1.4793
Dem,50 to 64,High school,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Rest,50 to 85 percent,Cell,1,0.7938,1.4685,1.2235,1.5062
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,Postgraduate Degree,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Rest,85 percent or higher,Cell,1,0.9493,0.6151,0.413,0.6211
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Kane,85 percent or higher,Cell,1,0.97,1.0425,0.5858,1.0434
