response,ager,educ,file_race,gender,race_eth,approve,CRIMES,FEMINISM,genballot,hdem_fav,hrep_fav,NFLA,NFLRIGHT,OPIOID,REVERSERACIS,STRANGER,SWAMP,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,age_combinedb,file_party_region,file_race_black,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,50 to 64,High school,White,Male,White,Approve,disagree,support,Reps. keep House,Unfavorable,Favorable,oppose,support,no,disagree,disagree,agree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Fayette,50 to 64,"Fayette, Republican",White,50 to 85 percent,Cell,1,0.8317,2.3496,1.3363,2.358
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,disagree,oppose,Reps. keep House,Unfavorable,Favorable,oppose,oppose,yes,agree,agree,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,65 and older,"Rest, Republican",White,85 percent or higher,Cell,1,0.9704,0.5688,0.1934,0.5609
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,disagree,oppose,Reps. keep House,Unfavorable,Favorable,oppose,oppose,yes,agree,disagree,agree,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Republican,"White, 4-Year College Grads",White,Rest,35 to 49,"Rest, Democratic",White,85 percent or higher,Cell,1,0.9501,0.6401,0.411,0.6254
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Don't know,Don't know,Dems. take House,Favorable,Favorable,support,support,no,disagree,disagree,disagree,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,Fayette,50 to 64,"Fayette, Democratic",White,Less than 50 percent,Cell,1,0.1294,0.9895,3.4507,1.2693
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,disagree,support,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,disagree,disagree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Inner Bluegrass,18 to 34,"Rest, Democratic",White,50 to 85 percent,Cell,0.8889,0.6842,1.6295,1.4082,1.6517
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Fayette,65 and older,"Fayette, Democratic",White,85 percent or higher,Landline,1,0.9839,0.7482,0.3207,0.7375
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,agree,Don't know,Don't know,Unfavorable,Favorable,oppose,oppose,yes,agree,agree,disagree,45 to 64,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,50 to 64,"Rest, Democratic",White,Less than 50 percent,Cell,0,0.1356,0.7842,3.6263,0.4161
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,disagree,oppose,Reps. keep House,Unfavorable,Favorable,oppose,oppose,yes,disagree,agree,disagree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Inner Bluegrass,50 to 64,"Rest, Republican",White,85 percent or higher,Cell,1,0.9633,0.8451,0.2337,0.8336
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,disagree,oppose,Dems. take House,Favorable,Unfavorable,oppose,oppose,no,disagree,disagree,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Fayette,65 and older,"Fayette, Democratic",White,85 percent or higher,Landline,0.4444,0.9045,0.7119,0.3572,0.6696
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,agree,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Fayette,50 to 64,"Fayette, Democratic",White,50 to 85 percent,Cell,1,0.8497,0.8586,0.3139,0.8591
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,agree,oppose,Reps. keep House,Don't know,Favorable,support,support,no,disagree,disagree,disagree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Fayette,35 to 49,Other,White,85 percent or higher,Cell,1,0.9712,0.9082,0.371,0.8954
Dem,50 to 64,Graduate or Professional Degree,Asian,Female,White,Approve,disagree,support,Dems. take House,Favorable,Unfavorable,oppose,oppose,yes,agree,agree,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Inner Bluegrass,50 to 64,"Rest, Democratic",Other Non-White,85 percent or higher,Cell,1,0.9821,0.6555,0.3814,0.6461
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,agree,Don't know,Dems. take House,Favorable,Unfavorable,Don't know,Don't know,yes,disagree,Don't know,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Fayette,65 and older,"Fayette, Democratic",White,85 percent or higher,Cell,1,0.9148,0.7482,0.3427,0.7416
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,agree,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Inner Bluegrass,65 and older,"Rest, Democratic",White,85 percent or higher,Landline,1,0.9881,0.6902,0.3637,0.6804
Und,65 and older,Bachelors' degree,White,Male,White,Disapp.,Don't know,support,Reps. keep House,Don't know,Favorable,oppose,oppose,no,disagree,disagree,disagree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Fayette,65 and older,"Fayette, Republican",White,85 percent or higher,Landline,1,0.8571,0.8692,0.453,0.8687
Rep,35 to 49,High school,White,Male,White,Approve,disagree,support,Reps. keep House,Favorable,Unfavorable,oppose,oppose,yes,agree,disagree,disagree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Inner Bluegrass,35 to 49,"Rest, Republican",White,85 percent or higher,Cell,1,0.9387,2.6405,1.7901,2.6101
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,disagree,oppose,Reps. keep House,Unfavorable,Favorable,oppose,support,no,agree,agree,agree,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Inner Bluegrass,35 to 49,"Rest, Democratic",White,50 to 85 percent,Cell,1,0.6834,1.1986,1.3176,1.1893
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,yes,agree,agree,disagree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,18 to 34,"Rest, Democratic",White,50 to 85 percent,Cell,1,0.6526,1.1724,0.9364,1.2229
Rep,65 and older,Some college or trade school,White,Male,White,Approve,disagree,support,Dems. take House,Unfavorable,Favorable,oppose,oppose,yes,agree,disagree,agree,65 and older,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,65 and older,"Rest, Democratic",White,50 to 85 percent,Landline,1,0.5212,0.7002,0.689,0.7151
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,disagree,support,Dems. take House,Unfavorable,Favorable,oppose,oppose,no,disagree,agree,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,50 to 64,"Rest, Democratic",White,85 percent or higher,Cell,1,0.9632,0.603,0.2809,0.5948
