response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,FEMINISM,genballot,hdem_fav,hrep_fav,KAVASST,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_party_model,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Approve,Check,oppose,Reps. keep House,Favorable,Favorable,Don't know,agree,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,Less Dem,White,Dakota,85 percent or higher,Landline,1,0.9942,0.8191,0.6465,0.852
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,NA,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Most Dem,White,Dakota,50 to 85 percent,Cell,1,0.8161,0.5266,0.4362,0.5603
Dem,50 to 64,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,Most Dem,White,Dakota,50 to 85 percent,Cell,1,0.6242,1.0793,1.4309,1.1994
Dem,18 to 34,Graduate or Professional Degree,Asian,Male,Asian,support,Don't know,Don't know,support,Dems. take House,Don't know,Don't know,NA,agree,18 to 29,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 34,Most Dem,Non-White,Dakota,Less than 50 percent,Cell,1,0.4821,0.3576,0.4485,0.4169
Und,50 to 64,Some college or trade school,White,Female,White,support,Approve,Support,support,Reps. keep House,Don't know,Unfavorable,Do not believe,disagree,45 to 64,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,Most Rep,White,Dakota,50 to 85 percent,Landline,1,0.7032,1.1122,1.3184,1.1638
Rep,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Don't know,Don't know,Don't know,Don't know,Reps. keep House,Don't know,Don't know,NA,disagree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,Less Dem,Unknown,Dakota,85 percent or higher,Cell,1,0.87,0.5705,0.445,0.6016
Dem,50 to 64,Bachelors' degree,Asian,Male,Asian,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,NA,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,50 to 64,Most Dem,Non-White,Rest,50 to 85 percent,Cell,1,0.8219,1.0532,0.8641,1.1193
Und,18 to 34,Graduate or Professional Degree,Asian,Male,Asian,Don't know,Disapp.,Check,support,Reps. keep House,Don't know,Unfavorable,Don't know,Don't know,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,or as a member of another political party,Nonwhite,18 to 34,Most Dem,Non-White,Dakota,50 to 85 percent,Cell,1,0.7598,0.559,0.4874,0.6012
Dem,18 to 34,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Don't know,Favorable,Unfavorable,Don't know,agree,18 to 29,Some College Educ.,Other,Female,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",18 to 34,Less Dem,White,Scott,50 to 85 percent,Cell,1,0.6289,0.8067,1.1673,0.8953
Dem,50 to 64,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,NA,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,Less Rep,White,Scott,85 percent or higher,Landline,1,0.9289,1.1318,1.0054,1.184
Dem,50 to 64,Bachelors' degree,Unknown,Male,Other,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,NA,agree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,Nonwhite,50 to 64,Less Rep,Unknown,Dakota,50 to 85 percent,Cell,1,0.7088,1.2008,1.1524,1.3058
Dem,65 and older,High school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,NA,agree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,Less Rep,White,Dakota,85 percent or higher,Cell,1,0.9665,2.688,2.213,2.8025
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,NA,agree,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,Less Dem,White,Dakota,50 to 85 percent,Cell,1,0.6665,0.8964,1.1418,0.9849
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,NA,agree,18 to 29,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,Less Dem,White,Rest,Less than 50 percent,Cell,1,0.3855,0.2841,0.4628,0.3464
Rep,65 and older,Bachelors' degree,Unknown,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Don't know,agree,65 and older,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Less Rep,Unknown,Dakota,85 percent or higher,Landline,1,0.997,1.0417,0.7114,1.0867
