response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,educ3,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,18 to 34,Graduate or Professional Degree,White,Female,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 34,Postgraduate Degree,White,"Morris, well-educ.",85 percent or higher,Cell,1,0.8647,0.517,0.3468,0.5106
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,Postgraduate Degree,White,"Morris, well-educ.",Less than 50 percent,Cell,0.8889,0.4929,0.4946,0.5236,0.5317
Und,18 to 34,Bachelors' degree,Hispanic,Male,Asian,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 34,4-year College Grad.,Non-White,"Morris, well-educ.",50 to 85 percent,Cell,1,0.5225,0.7937,0.9565,0.8715
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Essex,85 percent or higher,Cell,1,0.965,1.0108,0.4491,0.9997
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Passaic,85 percent or higher,Cell,1,0.965,0.8044,0.514,0.8022
4,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,Postgraduate Degree,White,"Morris, well-educ.",85 percent or higher,Cell,1,0.965,0.6194,0.346,0.6177
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Morris, well-educ.",85 percent or higher,Landline,1,0.965,0.9505,0.4725,0.9479
Dem,50 to 64,Bachelors' degree,Other,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,Non-White,"Morris, well-educ.",50 to 85 percent,Landline,1,0.5996,1.3484,1.2056,1.4434
Rep,50 to 64,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,Unknown,Rest,50 to 85 percent,Cell,1,0.6937,1.1472,0.924,1.2322
Und,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Somewhat likely,Republican,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Rest,50 to 85 percent,Landline,0.6667,0.592,0.7336,0.4634,0.5754
