response,ager,educ,file_race,gender,race_eth,ABOLOISHICE,AFRAID,approve,ASSAULTW,CONIMMIG,ENGLISH,genballot,hdem_fav,hrep_fav,IMMCRIME,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,35 to 49,High school,White,Female,White,Support,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Unfavorable,agree,30 to 44,High School Grad. or Less,Republican,Female,Not very likely,Republican,"White, No 4-Year College Degree",35 to 49,White,East,Less than 50 percent,Cell,0.2222,0.384,1.7716,4.0671,0.7427
Dem,65 and older,Some college or trade school,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Dona Ana,85 percent or higher,Cell,1,0.9349,0.7315,0.3143,0.7324
Rep,35 to 49,Some college or trade school,White,Female,White,Don't know,agree,Approve,support,Don't know,agree,Reps. keep House,Unfavorable,Don't know,Don't know,30 to 44,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",35 to 49,White,West,Less than 50 percent,Cell,1,0.3824,0.748,1.6881,0.8062
Rep,35 to 49,Bachelors' degree,Hispanic,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,Don't know,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,Non-White,Dona Ana,Less than 50 percent,Cell,1,0.431,1.4951,1.8684,1.7069
Rep,65 and older,Some college or trade school,White,Female,Other,Oppose,agree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Don't know,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,65 and older,White,East,85 percent or higher,Landline,1,0.9058,0.5562,0.371,0.5588
Dem,65 and older,High school,White,Female,Hispanic,Support,disagree,Disapp.,support,Support,disagree,Dems. take House,Don't know,Favorable,agree,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Independent (No party),Nonwhite,65 and older,White,West,Less than 50 percent,Landline,0.8889,0.1941,1.085,3.0411,1.2179
Rep,65 and older,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,West,85 percent or higher,Cell,1,0.9839,0.7943,0.3428,0.7927
Dem,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,Non-White,Dona Ana,85 percent or higher,Cell,1,0.8598,1.1907,0.5687,1.2044
Dem,18 to 34,Some college or trade school,Hispanic,Female,Hispanic,Don't know,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,30 to 44,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 34,Non-White,West,50 to 85 percent,Cell,1,0.8374,1.1702,0.8214,1.1588
Dem,65 and older,Bachelors' degree,Unknown,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Unknown,West,50 to 85 percent,Cell,1,0.5788,1.2332,0.9896,1.3304
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Reps. keep House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,West,85 percent or higher,Landline,1,0.9492,0.3443,0.1607,0.3443
Und,50 to 64,Graduate or Professional Degree,Hispanic,Female,Hispanic,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,50 to 64,Non-White,West,85 percent or higher,Cell,1,0.98,0.6705,0.2513,0.6654
Und,35 to 49,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Don't know,disagree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,White,Dona Ana,Less than 50 percent,Cell,1,0.3838,1.0617,1.7647,1.2412
Rep,18 to 34,Some college or trade school,White,Male,White,Support,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,disagree,30 to 44,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",18 to 34,White,West,50 to 85 percent,Cell,1,0.6502,0.9368,0.7401,0.9457
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Don't know,agree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,agree,65 and older,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,East,50 to 85 percent,Landline,1,0.7798,0.4915,0.2397,0.4887
Rep,50 to 64,Some college or trade school,White,Male,White,Oppose,agree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,disagree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,West,50 to 85 percent,Landline,1,0.7733,1.114,0.5508,1.1444
Rep,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Don't know,disagree,45 to 64,Some College Educ.,Democratic,Male,Very likely,Republican,Nonwhite,50 to 64,Non-White,West,50 to 85 percent,Cell,1,0.7624,1.3525,0.6547,1.3468
Rep,65 and older,High school,Hispanic,Female,Other,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,Don't know,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,Nonwhite,65 and older,Non-White,East,85 percent or higher,Landline,1,0.9259,1.5534,1.1058,1.557
Dem,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Reps. keep House,Favorable,Unfavorable,disagree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,35 to 49,Non-White,West,85 percent or higher,Cell,1,0.9741,1.4469,0.9689,1.4443
Dem,65 and older,High school,Hispanic,Female,Hispanic,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,Non-White,East,Less than 50 percent,Cell,1,0.4285,1.4626,2.3725,1.6717
Rep,65 and older,Bachelors' degree,Hispanic,Female,White,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Don't know,Favorable,disagree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Non-White,West,85 percent or higher,Cell,1,0.9465,0.8294,0.5201,0.8295
