response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,FEMINISM,genballot,hdem_fav,hrep_fav,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,35 to 49,Graduate or Professional Degree,White,Female,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,White,Hamilton,85 percent or higher,Cell,1,0.8899,0.7022,0.4863,0.712
Dem,35 to 49,Bachelors' degree,Unknown,Male,White,support,Approve,Support,support,Reps. keep House,Favorable,Unfavorable,agree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,Unknown,Hamilton,85 percent or higher,Landline,1,0.8985,0.9674,0.6193,0.9798
Rep,50 to 64,High school,Unknown,Male,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,Unknown,Hamilton,85 percent or higher,Landline,1,0.9767,1.8129,1.198,1.8223
Rep,65 and older,Grade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,agree,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Hamilton,50 to 85 percent,Landline,0.7778,0.8477,1.6453,1.1249,1.5895
Rep,50 to 64,Some college or trade school,Black,Male,White,support,Approve,Check,oppose,Reps. keep House,Don't know,Don't know,disagree,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,Non-White,Hamilton,50 to 85 percent,Cell,1,0.8312,0.7732,0.4026,0.7913
Rep,50 to 64,High school,White,Female,White,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Warren,85 percent or higher,Cell,0.8889,0.8526,1.6099,1.1205,1.6235
Dem,50 to 64,Some college or trade school,White,Female,White,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,Don't know,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Hamilton,50 to 85 percent,Landline,1,0.8181,0.8888,0.4154,0.9117
Dem,35 to 49,Bachelors' degree,Other,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,Non-White,Hamilton,50 to 85 percent,Landline,0.8889,0.8336,0.88,0.5039,0.8893
Rep,50 to 64,Some college or trade school,Black,Female,Black,oppose,Disapp.,Check,oppose,Dems. take House,Don't know,Favorable,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,50 to 64,Non-White,Hamilton,85 percent or higher,Landline,1,0.9158,0.7165,0.3223,0.7241
Und,18 to 34,Bachelors' degree,White,Male,White,Don't know,Disapp.,Check,oppose,Don't know,Don't know,Don't know,disagree,30 to 44,4-year College Grad.,Other,Male,Not very likely,or as a member of another political party,"White, 4-Year College Grads",18 to 34,White,Warren,Less than 50 percent,Cell,0.4444,0.3809,1.1906,1.7393,0.6107
Rep,50 to 64,High school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Hamilton,85 percent or higher,Landline,1,0.9476,1.4357,0.9736,1.4459
Rep,65 and older,Some college or trade school,Black,Female,Other,support,Approve,Check,Don't know,Reps. keep House,Favorable,Favorable,agree,65 and older,Some College Educ.,Democratic,Female,Very likely,Republican,Nonwhite,65 and older,Non-White,Cincinnati,85 percent or higher,Landline,0,0.9461,0.7906,0.453,0.7047
Dem,18 to 34,Some college or trade school,Black,Female,Black,oppose,Disapp.,Check,oppose,Dems. take House,Favorable,Unfavorable,agree,30 to 44,Some College Educ.,Other,Female,Almost certain,Democrat,Nonwhite,18 to 34,Non-White,Cincinnati,Less than 50 percent,Cell,1,0.2884,1.0608,2.8232,1.3282
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,disagree,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",18 to 34,White,Hamilton,85 percent or higher,Cell,1,0.9571,1.002,0.5959,1.0083
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Hamilton,85 percent or higher,Landline,1,0.9517,0.6671,0.2709,0.6716
Rep,65 and older,Bachelors' degree,White,Male,White,support,Disapp.,Check,oppose,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,Hamilton,50 to 85 percent,Landline,1,0.7635,0.7968,0.456,0.799
Rep,65 and older,Bachelors' degree,Black,Male,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Favorable,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Non-White,Hamilton,85 percent or higher,Landline,1,0.8514,0.7112,0.3296,0.7255
Rep,65 and older,Bachelors' degree,White,Male,White,support,Disapp.,Support,Don't know,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,Hamilton,85 percent or higher,Landline,1,0.8608,0.74,0.3587,0.7372
Dem,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Hamilton,85 percent or higher,Cell,1,0.9692,0.7147,0.4134,0.7186
Rep,35 to 49,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,disagree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,White,Hamilton,50 to 85 percent,Cell,1,0.5353,1.0253,1.094,1.1302
Dem,[DO NOT READ] Refused,Bachelors' degree,Black,Female,Hispanic,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,agree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,35 to 49,Non-White,Hamilton,50 to 85 percent,Cell,1,0.7972,0.8192,0.4778,0.8435
Rep,18 to 34,Some college or trade school,Black,Female,Black,Don't know,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,agree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 34,Non-White,Cincinnati,50 to 85 percent,Cell,0.5556,0.7459,1.2994,1.028,1.2446
