response,ager,educ,file_race,gender,race_eth,approve,GOVHR,sdem_fav,SENC,srep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,65 and older,Grade school,White,Female,White,Approve,Dem.,Favorable,Don't know,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,West,85 percent or higher,Landline,1,0.8831,0.9541,0.688,0.9531
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Nashville Area,85 percent or higher,Landline,1,0.8745,1.0545,0.7757,1.0333
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Nashville Area,Less than 50 percent,Landline,1,0.3671,0.8025,1.5154,0.9385
Dem,65 and older,High school,White,Female,White,Approve,Dem.,Favorable,Don't know,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,East,85 percent or higher,Cell,1,0.923,1.0338,0.723,0.9792
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,Black,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dem.,Favorable,Don't know,Unfavorable,30 to 44,[DO NOT READ] Don't know/Refused,Other,Female,Very likely,Democrat,[DO NOT READ] Don't know/Refused,18 to 39,[DO NOT READ] Don't know/Refused,Non-White,Nashville Area,Less than 50 percent,Cell,0.4444,0.4211,1.1885,2.6735,0.956
Dem,65 and older,Some college or trade school,Other,Female,White,Approve,Dem.,Don't know,Dem.,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Non-White,East,85 percent or higher,Landline,0.8889,0.966,1.145,0.8006,1.1288
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,[DO NOT READ] Don't know/Refused,Republican,Male,Very likely,Republican,[DO NOT READ] Don't know/Refused,65 and older,[DO NOT READ] Don't know/Refused,White,East,85 percent or higher,Cell,1,0.8637,1.0106,0.6395,0.9907
Rep,[DO NOT READ] Refused,Some college or trade school,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,18 to 29,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,West,Less than 50 percent,Landline,1,0.1028,1.2191,5.9938,1.6407
Rep,65 and older,High school,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,East,85 percent or higher,Landline,1,0.9552,1.1454,0.646,1.1345
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Rep.,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,West,50 to 85 percent,Landline,1,0.5641,1.0414,0.9479,1.0576
Rep,50 to 64,Grade school,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,East,85 percent or higher,Cell,1,0.8993,1.0938,0.6063,1.0713
Rep,50 to 64,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Approve,Rep.,Don't know,Rep.,Don't know,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,40 to 64,No 4-year College Degree,White,East,50 to 85 percent,Cell,0.8889,0.7517,1.1064,0.7325,1.1125
Dem,50 to 64,High school,White,Female,White,Approve,Dem.,Unfavorable,Dem.,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Not very likely,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,East,50 to 85 percent,Cell,0.4444,0.7,0.9987,0.8506,0.6372
Dem,35 to 49,Graduate or Professional Degree,White,Female,Hispanic,Disapp.,Rep.,Favorable,Dem.,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,Postgraduate Degree,White,East,85 percent or higher,Cell,1,0.9448,0.6409,0.3587,0.6354
Und,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dem.,Favorable,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,West,85 percent or higher,Cell,1,0.8617,0.7969,0.391,0.7987
Rep,65 and older,High school,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Unfavorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,East,50 to 85 percent,Cell,1,0.5628,1.1586,1.1072,1.2452
Dem,65 and older,Bachelors' degree,Unknown,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,Unknown,East,85 percent or higher,Landline,1,0.964,0.7775,0.3911,0.7696
Dem,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Dem.,Unfavorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,40 to 64,No 4-year College Degree,Non-White,West,85 percent or higher,Landline,1,0.9643,1.0091,0.6452,0.9988
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,East,85 percent or higher,Landline,1,0.8991,0.689,0.4526,0.6868
Dem,18 to 34,Some college or trade school,Black,Female,Black,Disapp.,Dem.,Don't know,Dem.,Don't know,18 to 29,Some College Educ.,Other,Female,Almost certain,Democrat,Nonwhite,18 to 39,No 4-year College Degree,Non-White,Nashville Area,Less than 50 percent,Landline,1,0.2951,1.347,4.2628,1.6515
Und,65 and older,High school,White,Female,White,Don't know,Rep.,Don't know,Rep.,Unfavorable,65 and older,High School Grad. or Less,Republican,Female,[DO NOT READ] Don't know/Refused,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,West,Less than 50 percent,Landline,0.1111,0.3117,0.7172,1.7951,0.2871
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,Eastern Cities,85 percent or higher,Landline,1,0.9528,0.9299,0.6067,0.9212
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,18 to 29,4-year College Grad.,Republican,Female,Very likely,Democrat,"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,East,85 percent or higher,Cell,1,0.9055,1.0027,0.7027,0.9821
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Dem.,Unfavorable,Rep.,Favorable,30 to 44,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,East,Less than 50 percent,Cell,1,0.2415,0.7714,2.1242,0.8863
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Eastern Cities,85 percent or higher,Landline,1,0.9736,0.762,0.4204,0.7538
