response,ager,educ,file_race,gender,race_eth,approve,COLLUDE,CRIMES,DEMIMPEACH,genballot,hdem_fav,hrep_fav,MUELLER,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedb,file_race_black,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,disagree,agree,disagree,Dems. take House,Don't know,Don't know,Support,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,35 to 49,White,85 percent or higher,Cell,1,0.9195,0.4062,0.2193,0.4158
Dem,[DO NOT READ] Refused,Bachelors' degree,Unknown,Female,White,Disapp.,disagree,agree,disagree,Don't know,Favorable,Unfavorable,Support,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,50 to 64,Unknown,85 percent or higher,Landline,1,0.9192,1.2829,0.8606,1.3133
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Landline,1,0.9196,0.4784,0.1655,0.4897
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Don't know,agree,agree,agree,Don't know,Don't know,Favorable,Support,45 to 64,Postgraduate Degree,Other,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",Chesterfield,35 to 49,White,50 to 85 percent,Cell,0.5556,0.5826,1.0675,0.8296,0.8048
Und,50 to 64,Some college or trade school,Black,Female,Black,Don't know,disagree,agree,agree,Dems. take House,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),Nonwhite,Chesterfield,65 and older,Black,85 percent or higher,Landline,1,0.8878,0.9954,0.6488,1.0232
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,65 and older,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Landline,1,0.9567,0.524,0.1732,0.5292
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,disagree,agree,agree,Dems. take House,Don't know,Don't know,Support,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Henrico,35 to 49,White,50 to 85 percent,Cell,1,0.6381,0.5556,0.2501,0.6011
Dem,50 to 64,Bachelors' degree,Black,Female,Black,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Henrico,50 to 64,Black,85 percent or higher,Landline,1,0.8961,0.6677,0.372,0.6856
Dem,65 and older,Some college or trade school,White,Female,Black,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Don't know,Support,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Chesterfield,65 and older,White,85 percent or higher,Landline,1,0.9612,0.7895,0.4394,0.8048
Rep,65 and older,High school,White,Male,White,Approve,agree,disagree,disagree,Reps. keep House,Don't know,Favorable,Oppose,65 and older,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Henrico,65 and older,White,50 to 85 percent,Cell,1,0.5938,2.1673,2.3141,2.3752
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,agree,disagree,agree,Reps. keep House,Don't know,Don't know,Oppose,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,65 and older,White,85 percent or higher,Cell,1,0.9824,0.6405,0.2485,0.6524
Dem,65 and older,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,agree,Dems. take House,Favorable,Unfavorable,Don't know,65 and older,Some College Educ.,Democratic,Male,Very likely,Democrat,[DO NOT READ] Don't know/Refused,Henrico,65 and older,White,85 percent or higher,Landline,1,0.9508,0.6885,0.2616,0.6951
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,agree,disagree,agree,Reps. keep House,Favorable,Favorable,Oppose,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Henrico,35 to 49,White,50 to 85 percent,Landline,1,0.787,0.5162,0.2174,0.5397
Rep,65 and older,High school,White,Male,White,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Henrico,65 and older,White,85 percent or higher,Landline,1,0.8799,1.2813,0.9213,1.3186
Und,50 to 64,Bachelors' degree,White,Female,Asian,Disapp.,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Support,45 to 64,4-year College Grad.,Republican,Female,Somewhat likely,Independent (No party),Nonwhite,Henrico,35 to 49,White,Less than 50 percent,Landline,0.4444,0.4794,0.4615,0.3873,0.3104
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,disagree,Don't know,Don't know,Dems. take House,Favorable,Unfavorable,Support,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,35 to 49,White,85 percent or higher,Landline,1,0.8821,0.4606,0.2102,0.4739
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Cell,1,0.9843,0.5521,0.1659,0.5623
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,agree,disagree,disagree,Reps. keep House,Unfavorable,Favorable,Oppose,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,35 to 49,White,85 percent or higher,Cell,1,0.9747,0.6498,0.3006,0.6619
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,agree,disagree,Don't know,Reps. keep House,Don't know,Don't know,Oppose,65 and older,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Henrico,65 and older,White,Less than 50 percent,Landline,0.4444,0.339,0.8348,0.8858,0.6855
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,disagree,agree,Don't know,Dems. take House,Favorable,Unfavorable,Support,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,50 to 64,White,85 percent or higher,Landline,1,0.9339,0.8245,0.5006,0.8426
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rest,65 and older,White,85 percent or higher,Cell,1,0.9102,0.9712,0.4319,0.9954
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Male,Not at all likely,Independent (No party),"White, 4-Year College Grads",Rest,65 and older,White,85 percent or higher,Cell,1,0.9891,0.6079,0.2504,0.5989
Und,50 to 64,Bachelors' degree,Other,Male,White,Approve,Don't know,Don't know,agree,Reps. keep House,Don't know,Don't know,Don't know,18 to 29,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,18 to 34,Other Non-White,Less than 50 percent,Cell,1,0.494,1.8482,2.8576,2.0961
Rep,65 and older,Some college or trade school,White,Male,White,Approve,disagree,disagree,disagree,Reps. keep House,Don't know,Don't know,Oppose,65 and older,Some College Educ.,Republican,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",Henrico,65 and older,White,85 percent or higher,Landline,1,0.9775,0.7254,0.2507,0.7238
Rep,35 to 49,Bachelors' degree,Black,Male,White,Approve,disagree,agree,agree,Dems. take House,Don't know,Don't know,Support,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,18 to 34,Black,Less than 50 percent,Cell,1,0.2301,2.3815,8.2941,3.1807
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Landline,1,0.9791,0.4784,0.1554,0.4873
Rep,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Chesterfield,50 to 64,Unknown,85 percent or higher,Cell,1,0.8869,0.6868,0.3936,0.7061
Dem,65 and older,Graduate or Professional Degree,White,Male,Black,Disapp.,disagree,agree,agree,Dems. take House,Don't know,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Henrico,65 and older,White,50 to 85 percent,Landline,1,0.8004,0.4745,0.1548,0.4949
