response,ager,educ,file_race,gender,race_eth,approve,APPRUSSIAWI1,COLLUDE,CRIMES,DEMIMPEACH,genballot,hdem_fav,hrep_fav,IMPEACH,MUELLER,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_party_model,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Und,35 to 49,Some college or trade school,White,Female,White,Approve,Don't know,disagree,disagree,disagree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,45 to 64,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,35 to 49,Lean Trump,White,Milwaukee Suburbs,85 percent or higher,Cell,1,0.8719,0.9171,0.689,0.9233
Dem,65 and older,Some college or trade school,Black,Female,Other,Don't know,Don't know,agree,Don't know,Don't know,Don't know,Favorable,Don't know,Don't know,Support,65 and older,Some College Educ.,Democratic,Female,Very likely,Independent (No party),Nonwhite,Nonwhite,65 and older,Probably Clinton,Non-White,Racine/Kenosha City,85 percent or higher,Cell,1,0.9608,0.8644,0.3803,0.8713
Rep,65 and older,High school,White,Male,White,Approve,Don't know,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Don't know,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Probably Trump,White,Rest,85 percent or higher,Cell,1,0.9849,1.7984,0.9644,1.8274
Dem,50 to 64,High school,White,Female,White,Disapp.,Disapp.,agree,agree,agree,Dems. take House,Don't know,Don't know,Support,Support,45 to 64,High School Grad. or Less,Other,Female,Not very likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,Lean Clinton,White,Racine/Kenosha City,85 percent or higher,Cell,1,0.9322,1.3362,0.9893,1.2625
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Lean Clinton,White,Rest,85 percent or higher,Cell,1,0.8562,0.754,0.4735,0.777
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Approve,agree,disagree,disagree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,Probably Trump,White,Racine/Kenosha Cty.,85 percent or higher,Cell,1,0.9868,1.0661,0.6808,1.0834
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Disapp.,disagree,agree,Don't know,Reps. keep House,Favorable,Unfavorable,Support,Oppose,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Probably Clinton,White,Racine/Kenosha City,85 percent or higher,Cell,1,0.8794,0.5435,0.3417,0.547
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,30 to 44,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Probably Trump,White,Racine/Kenosha Cty.,Less than 50 percent,Cell,0.8889,0.4379,2.0247,4.8166,2.0869
Dem,35 to 49,High school,White,Male,Black,Disapp.,Don't know,agree,agree,agree,Dems. take House,Don't know,Don't know,Support,Support,30 to 44,High School Grad. or Less,Other,Male,Very likely,Democrat,Nonwhite,Nonwhite,35 to 49,Lean Trump,White,Racine/Kenosha Cty.,85 percent or higher,Cell,1,0.9103,1.883,1.491,1.8945
Dem,50 to 64,Some college or trade school,White,Female,Other,Don't know,Don't know,agree,Don't know,Don't know,Don't know,Favorable,Don't know,Oppose,Oppose,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),Nonwhite,Nonwhite,50 to 64,Lean Clinton,White,Racine/Kenosha Cty.,50 to 85 percent,Cell,1,0.5199,0.7764,1.1839,0.8178
